paper_id,year,primary_obj,secondary_obj,model_obj,main_output,theor_appli,zone,scale,parent1,parent2,r0,data,data_newly_pub,spatial_model,external_inf,specify_move,FOI,FOI_justif,nb_host,nb_vector,host_taxa,vector_taxa
Xue_2012,2012,understand,,TRUE,estimation,appli,South Africa,sub,Gaff_2007,,analytical,TRUE,FALSE,TRUE,TRUE,vector_and_hosts,FI,FALSE,2,2,"Sheep, Human","Aedes, Culex"
Xue_2013a,2013,understand,,TRUE,scenario,theor,,,,,analytical,FALSE,,TRUE,TRUE,host_move,FI,FALSE,2,2,"Livestock, Human","Aedes, Culex"
Manore_2015,2015,understand,,FALSE,scenario,grey,South Africa,local,Chitnis_2013,,,FALSE,,FALSE,FALSE,,Hybrid1,TRUE,1,1,Buffalo,Aedes
Xue_2013b,2013,understand,,TRUE,map_risk,appli,United States of America,sub,Xue_2012,,,TRUE,FALSE,TRUE,TRUE,vector_and_hosts,FI,FALSE,2,2,"Cattle, Human","Aedes, Culex"
Pedro_2014,2014,understand,,FALSE,math_properties,theor,,,Gaff_2007,,analytical,FALSE,,FALSE,FALSE,,Hybrid1,TRUE,1,2,Livestock,"Aedes, Culex"
Beechler_2015,2015,understand,,FALSE,scenario,appli,South Africa,local,Manore_2015,,,TRUE,TRUE,FALSE,FALSE,,Hybrid1,FALSE,1,1,Buffalo,Aedes (assumed)
Sekamatte_2019,2019,understand,control,FALSE,scenario,appli,Uganda,sub,Scoglio_2016,,,TRUE,FALSE,TRUE,TRUE,indirect,not_app,TRUE,1,0,Cattle,
EFSA_2020_1,2020,control,,FALSE,scenario,appli,Mayotte,sub,Metras_2017,Metras_2020,,TRUE,FALSE,FALSE,FALSE,,not_app,TRUE,1,1,Livestock,Culex
EFSA_2020_2,2020,control,,FALSE,map_risk,appli,Netherlands,national,,,,TRUE,FALSE,TRUE,TRUE,indirect,FR,FALSE,1,0,Livestock,
Tennant_2021,2021,understand,control,FALSE,estimation,appli,Comoros archipelago,international,,,analytical,TRUE,FALSE,TRUE,TRUE,host_move,not_app,FALSE,1,0,Livestock,
Lo_Iacono_2018,2018,understand,,FALSE,scenario,grey,Kenya,national,,,,TRUE,FALSE,FALSE,FALSE,,Hybrid3,FALSE,1,2,Livestock,"Aedes, Culex"
Pedro_2016b,2016,understand,,FALSE,sensitivity,theor,,,Pedro_2014,,analytical,FALSE,,FALSE,FALSE,,Hybrid1,FALSE,1,2,Livestock,"Aedes, Culex"
Wen_2019,2019,understand,,FALSE,scenario,theor,,,,,analytical,FALSE,,TRUE,TRUE,host_move,MA,FALSE,1,1,Livestock,Not precised
Xue_2015,2015,understand,,FALSE,scenario,theor,,,,,analytical,FALSE,,TRUE,TRUE,indirect,FR,FALSE,1,1,Livestock,Not precised
Pedro_2018,2018,understand,,FALSE,scenario,theor,,,Maidana_2008,,analytical,FALSE,,FALSE,FALSE,,FR,FALSE,1,1,Livestock,Aedes
Mpeshe_2021,2021,understand,,TRUE,scenario,theor,,,,,analytical,FALSE,,FALSE,FALSE,,FI,FALSE,1,1,Human,Not precised
